Date,Time,Operation,Status,Detail
2025-06-12,22:03:00,E-posta,Success,Bildirim gönderildi
2025-06-12,22:03:31,System,Stopped,By user
2025-06-12,22:04:26,Check,Started,Selenium ile web sitesine bağlanılıyor
2025-06-12,22:04:27,System,Error,Selenium hatası: [WinError 193] %1 geçerli bir Win32 uygulaması değil
2025-06-12,22:04:27,Check,Success,Değişiklik yok - Filtreye uyan ev sayısı: 0
2025-06-12,22:04:49,System,Started,"Version 5.1 - Check interval: 5 minutes - Filter: 2, 2,5, 3 rooms, 300-1000€ - BeautifulSoup active"
2025-06-12,22:04:49,Check,Started,Connecting to website
2025-06-12,22:04:50,Connection,Success,HTTP 200
2025-06-12,22:04:50,Data,Success,Filtreye uyan ev sayısı: 0
2025-06-12,22:04:51,E-posta,Success,Bildirim gönderildi
2025-06-12,22:06:27,System,Started,"Version 5.1 - Check interval: 5 minutes - Filter: 2, 2,5, 3 rooms, 300-1000€ - BeautifulSoup active"
2025-06-12,22:06:27,Check,Started,Connecting to website
2025-06-12,22:06:27,Connection,Success,HTTP 200
2025-06-12,22:06:27,Data,Success,Filtreye uyan ev sayısı: 0
2025-06-12,22:06:29,E-posta,Success,Bildirim gönderildi
2025-06-12,22:08:42,System,Started,"Version 5.1 - Check interval: 5 minutes - Filter: 2, 2,5, 3 rooms, 300-1000€ - BeautifulSoup active"
